A	B
PLEKHA5	ATP9A
SYNE2	ATP9A
STRAP	NOP58
TOMM34	NOP58
AK2	SZRD1
MVP	SZRD1
ERCC8	FAM114A2
JARID2	CYFIP2
LCP2	CYFIP2
KMT2E	TAB2
IDS	TAB2
SCMH1	TAB2
MAP4K5	TAB2
NUB1	TAB2
UBR2	TAB2
PRKCH	TAB2
CTNNA1	TAB2
ZNF800	TAB2
ARID4B	TAB2
IDS	GINM1
MAP3K14	USP36
TEAD3	USP36
JARID2	USP36
SPAG9	USP36
CRY1	USP36
ELOVL5	USP36
SLC45A4	USP36
PHF20	USP36
MAP2K3	USP36
SCML1	USP36
CFLAR	KMT2C
KDM7A	KMT2C
FARP2	KMT2C
MAP4K3	KMT2C
MAP4K5	KMT2C
RUFY3	KMT2C
RNF19A	KMT2C
TRIO	KMT2C
ZNF800	KMT2C
SYNE2	KMT2C
FHL1	MCOLN3
ALS2	PUM2
VEZT	PUM2
PARP3	MRPL43
COX15	HPF1
TTC27	HPF1
TFB1M	HPF1
EIPR1	HPF1
FAM136A	HPF1
ERCC8	HPF1
KDM1A	ZFR
BCLAF1	ZFR
TBC1D23	ZFR
ZNF800	ZFR
KDM1A	RC3H2
ZCCHC8	RC3H2
TTC17	RC3H2
KIF1B	RC3H2
TAB2	RC3H2
ELOVL5	TRAF3IP2
ALAS1	TRAF3IP2
CD44	TRAF3IP2
RRAGD	SOAT1
FNIP2	SOAT1
POLDIP2	GDI2
MDH1	GDI2
NDUFS1	GDI2
TMEM98	MTA3
RALBP1	MTA3
CDKL5	USP13
CFLAR	ATP11B
REV3L	ATP11B
PHF20	ATP11B
PRKCH	ATP11B
RNF19A	ATP11B
VPS13D	ATP11B
CELF2	ATP11B
GPRC5A	LAMC2
CDH1	LAMC2
FARP2	CDK14
WWTR1	CDK14
TIMP2	CDK14
STAU2	CDK14
RSF1	CDK14
ARID4B	CDK14
TAB2	CDK14
SLC25A5	SEC61A1
GGCT	SEC61A1
AIFM2	SEC61A1
NOP16	SEC61A1
KDM7A	PPP1R12A
FARP2	PPP1R12A
MAP4K5	PPP1R12A
YAF2	PPP1R12A
UBR2	PPP1R12A
PRKCH	PPP1R12A
RNF19A	PPP1R12A
STAU2	PPP1R12A
KMT2C	PPP1R12A
CDK14	PPP1R12A
CFTR	RASGRF1
ACSM3	RASGRF1
SCIN	RASGRF1
CACNA2D2	RASGRF1
MGST1	RASGRF1
RHOBTB2	RASGRF1
MLXIPL	RASGRF1
ACPP	RASGRF1
ROS1	RASGRF1
LMO3	RASGRF1
TSPOAP1	CROCC
WDR54	CROCC
BAIAP3	CROCC
FUZ	CROCC
CCDC88C	CROCC
KIAA0556	CROCC
CFLAR	POLR3E
MARK4	POLR3E
TEAD3	POLR3E
JARID2	POLR3E
SPAG9	POLR3E
SCMH1	POLR3E
AKAP8L	POLR3E
MAP4K5	POLR3E
HSF2	POLR3E
ATP6V0A1	POLR3E
RNF19A	POLR3E
TRIO	POLR3E
MAP3K14	ATP2B4
SPAG9	ATP2B4
CRY1	ATP2B4
HIVEP2	ATP2B4
ELOVL5	ATP2B4
KPNA6	ATP2B4
UBA6	ATP2B4
PHLPP2	ATP2B4
ARAP2	ATP2B4
POLR3E	ATP2B4
KDM1A	ZC3H11A
CDC27	ZC3H11A
RANBP9	ZC3H11A
SCMH1	ZC3H11A
NUB1	ZC3H11A
YAF2	ZC3H11A
KPNA6	ZC3H11A
GABARAPL2	ZC3H11A
INPP4A	ZC3H11A
ZNF800	ZC3H11A
RSF1	ZC3H11A
KIF1B	ZC3H11A
ZFR	ZC3H11A
ATP11B	ZC3H11A
COX10	RIOK2
PEX3	RIOK2
SS18L2	YIPF1
COX10	NDC1
FAM136A	NDC1
RPL26L1	NDC1
MRPS10	NDC1
HPF1	NDC1
RIOK2	NDC1
OSBPL7	UNKL
PHF7	UNKL
AKAP8L	UNKL
CEP68	UNKL
ARID4A	UNKL
TUBG2	UNKL
MGST1	TBXAS1
GGCT	ALDH18A1
NOP16	ALDH18A1
MRTO4	ALDH18A1
ICA1	TARBP1
ZNF839	TARBP1
CROT	GATB
TFB1M	GATB
ALG1	GATB
HPF1	GATB
RELT	MXD1
IFRD1	CDK17
CRY1	CDK17
HGF	CDK17
SAMD4A	CDK17
PHLPP2	CDK17
ATP2B4	CDK17
DBF4	DNAJC25
ELOVL5	DNAJC25
SNAPC1	DNAJC25
TOMM34	DNAJC25
CD44	DNAJC25
RCN1	DNAJC25
MXD1	SLC2A3
NADK	CTDP1
LYPLA2	CTDP1
MVP	CTDP1
IFRD1	YBX3
TEAD3	YBX3
CRY1	YBX3
HIVEP2	YBX3
UBA6	YBX3
SLC4A7	YBX3
MAP2K3	YBX3
USP36	YBX3
CDK17	YBX3
ST7	WNK1
RABGAP1	WNK1
WWC3	WNK1
CELF2	WNK1
YAF2	CCAR1
INPP4A	CCAR1
MAP3K14	OGFR
TEAD3	OGFR
PRICKLE3	OGFR
RELT	OGFR
ALAS1	GNA15
CD44	GNA15
BAK1	GNA15
CROT	PIGV
PDK2	PIGV
ALDH3B1	PTPRU
KCNQ1	PTPRU
COX10	SNRNP40
VTA1	SNRNP40
MYCBP2	QSER1
ZFR	QSER1
DERA	MPC1
UPF1	ACAA1
PHKA2	ACAA1
MAP3K14	HDAC7
MARK4	HDAC7
TEAD3	HDAC7
AKAP8L	HDAC7
PRICKLE3	HDAC7
POLR3E	HDAC7
ATP2B4	HDAC7
TUBG2	PRDM6
TTC27	MRPS35
PEX3	MRPS35
FAM136A	MRPS35
STAU2	GUCY1B1
PRDM6	GUCY1B1
LUC7L	TNK2
DEF6	TNK2
PNPLA6	TNK2
TUBG2	TNK2
UNKL	TNK2
MAP4K5	GPBP1
PHF20	GPBP1
RNF19A	GPBP1
CDK14	GPBP1
PPP1R12A	GPBP1
MMP25	DGAT2
VPS50	ZNF112
ASTE1	ZNF112
PTCD2	ZNF112
UTP18	CS
ERP44	CS
SZRD1	CS
ZNF207	ELMO2
SCMH1	ELMO2
PRICKLE3	ELMO2
RNF10	ELMO2
KPNA6	ELMO2
WDR37	ELMO2
POLR3E	ELMO2
HDAC7	ELMO2
QPCTL	POLD1
BAK1	POLD1
CYBA	POLD1
WNK1	EIF4B
MARK4	BICRA
AKAP8L	BICRA
PRICKLE3	BICRA
OSBPL5	BICRA
EDC4	BICRA
TNK2	BICRA
TSR3	SPHK2
EEF1AKNMT	SPHK2
ZFP64	SPHK2
ALG1	SPHK2
SLC66A1	SPHK2
GATB	SPHK2
PIGV	SPHK2
NCDN	ISOC2
AP2S1	ISOC2
TSPAN17	ISOC2
CCDC124	U2AF2
NADK	U2AF2
DTNBP1	U2AF2
USP13	ZNF275
RNF216	MTMR1
NUB1	MTMR1
PIAS1	MTMR1
CELF2	MTMR1
CUL7	ADCK1
SPHK2	ADCK1
PIGQ	HAGH
RNF10	RNF4
CS	RNF4
