A	B
DKK3	PAK3
GLI2	PAK3
WSCD2	PAK3
HDHD5	EXOSC5
OGFR	LRCH4
RNH1	SIRT6
CBFB	POLD3
BTK	GPR137B
RNASET2	GPR137B
TRAM2	GPR137B
PACC1	GPR137B
FAM214A	JADE1
CLTCL1	JADE1
RPS6KA2	JADE1
IGF2BP2	JADE1
TMEM98	FBLN1
GAS7	FBLN1
NTN1	FBLN1
TSPOAP1	ITGA8
TBXA2R	ITGA8
HSD17B6	ITGA8
LTBP1	ITGA8
KCNH2	ITGA8
CYFIP2	ITGA8
DGKG	ITGA8
PDZD4	ITGA8
SPEG	ITGA8
PPP1R12B	ITGA8
GCLC	MCCC1
PRKAR2B	MCCC1
MGST1	MCCC1
SEMA3G	MCCC1
MDH1	MCCC1
AIFM2	MCCC1
NEDD4L	MCCC1
HEBP2	MCCC1
ATP9A	MCCC1
GYG2	MCCC1
CS	MCCC1
TTC38	MCCC1
UNG	MCCC1
ACACB	MCCC1
GCLC	ACER3
CS	ACER3
UHRF1BP1	ACER3
METTL1	TIGAR
PLEKHA5	TULP3
PLEKHO1	SYNJ2
RAI14	SYNJ2
PFKP	SYNJ2
NFKB2	SYNJ2
IL4R	SYNJ2
KITLG	ITM2A
NTN4	ITM2A
NDE1	CBFA2T2
PPP1R12B	TP53INP2
KITLG	RUNX1T1
NTHL1	RUNX1T1
FAS	FKBP7
CRMP1	FKBP7
PTGER3	SLC1A3
ARHGAP15	LXN
SPPL2B	REXO1
ZZEF1	REXO1
AK2	SAR1A
GDE1	SAR1A
PGM3	SAR1A
ALAS1	SAR1A
ACER3	SAR1A
RASGRP2	RAPGEF3
LIMS2	RAPGEF3
LNX1	RAPGEF3
MAP3K14	CIC
PRKAR2B	LIPE
MGST1	LIPE
MLXIPL	LIPE
SEMA3G	LIPE
AIFM2	LIPE
RETSAT	LIPE
PTGER3	LIPE
HEBP2	LIPE
ATP9A	LIPE
PKP2	LIPE
GLP2R	LIPE
TTC38	LIPE
ACACB	LIPE
MCCC1	LIPE
ARHGAP10	CARMIL1
JADE1	CARMIL1
PRKAR2B	PGM1
GGCT	PGM1
ADIPOR2	PGM1
MGST1	PGM1
ELOVL5	PGM1
AIFM2	PGM1
RETSAT	PGM1
NEDD4L	PGM1
PTGER3	PGM1
HEBP2	PGM1
ATP9A	PGM1
GYG2	PGM1
HIPK2	PGM1
MAOB	PGM1
TTC38	PGM1
MOCOS	PGM1
ACACB	PGM1
MCCC1	PGM1
LIPE	PGM1
EDC4	DNM2
HDAC9	EPB41L2
HLTF	EPB41L2
COASY	KEAP1
ARHGAP31	CRYBG3
JADE1	SESN1
CARMIL1	SESN1
EHD2	COL5A3
RHBDF1	DLGAP4
WDR1	DLGAP4
ARHGEF10L	DLGAP4
TSPOAP1	IGSF9B
HSD17B6	IGSF9B
LTBP1	IGSF9B
DGKG	IGSF9B
PDZD4	IGSF9B
REEP1	IGSF9B
RPS6KA6	IGSF9B
ITGA8	IGSF9B
RSF1	MAGI3
DCUN1D1	OSTM1
CASP10	MEF2C
WWTR1	MEF2C
CDK17	MEF2C
SCARF1	MEF2C
ARHGAP15	MEF2C
RNASET2	PTPRC
SLAMF7	PTPRC
SLC4A8	PTPRC
KCNQ1	PTPRC
FAM214A	STK17B
PAG1	STK17B
JADE1	STK17B
SESN1	STK17B
WWTR1	CADPS2
MEF2C	CADPS2
FOXN3	PHLPP1
WNK1	PHLPP1
CLASP1	PHLPP1
CX3CL1	ATP8B1
WWTR1	ATP8B1
BIRC3	ATP8B1
FAS	ATP8B1
VCL	ATP8B1
RAI14	ATP8B1
EPHA3	ATP8B1
BCAR1	ATP8B1
FOXC1	ATP8B1
PPP1R12A	ATP8B1
CDK17	ATP8B1
GUCY1B1	ATP8B1
MYLK	ATP8B1
PFKP	ATP8B1
KLF6	ATP8B1
