A	B
LCP2	SLC1A3
KCNQ1	SLC1A3
FAR2	SLC1A3
CD84	SLC1A3
APBB1IP	SLC1A3
LRCH4	MKNK1
PDK2	TNS1
FOXN3	TNS1
ATP9A	TNS1
NCKAP1	TNS1
MARK4	CIC
PTPRU	CIC
PRKAR2B	LIPE
MGST1	LIPE
MLXIPL	LIPE
ACACB	LIPE
NISCH	OPHN1
MKS1	OPHN1
MBTD1	OPHN1
PHKA2	OPHN1
CTPS2	OPHN1
ARHGAP6	OPHN1
ZNF76	OPHN1
TMEM260	OPHN1
CRMP1	OPHN1
MLLT10	OPHN1
SPATA20	KIF22
PHF7	KIF22
TNRC6C	KIF22
PDK3	CARMIL1
ARHGAP10	CARMIL1
RPS6KA2	CARMIL1
FRYL	CARMIL1
JADE1	CARMIL1
CEP68	EPB41L2
ARHGAP6	EPB41L2
PLEKHA5	EPB41L2
CLCN6	RABL2B
RUFY3	RABL2B
TNK2	RABL2B
OPHN1	RABL2B
GBA2	SLC35C2
SPRTN	CRYBG3
ZNF200	CRYBG3
ARHGAP31	CRYBG3
ATP11A	CRYBG3
CFLAR	RFX3
AKAP8L	RFX3
CDK17	RFX3
OGFR	RFX3
CLEC2D	RFX3
PDE8A	RFX3
SEC31B	RFX3
IDS	RAB21
QPCTL	RAB21
AP3M2	RAB21
FGFR1	RAB21
CCDC28A	SESN1
GALC	SESN1
NDST1	SRCAP
SIKE1	PSEN1
STARD3NL	CLDND1
MAP3K13	CLDND1
JADE2	RBL1
ITGA3	DLGAP4
CYTH3	DLGAP4
CD9	DLGAP4
PLEKHO1	DLGAP4
TBC1D22B	DLGAP4
TBC1D1	DLGAP4
AP3M2	DLGAP4
ACTN1	DLGAP4
PPP2R3A	DLGAP4
PIK3CB	RSBN1
MPP5	RSBN1
RSF1	MAGI3
ARID1B	MAGI3
NEDD4	MAGI3
MCUR1	OSTM1
DNAJC10	OSTM1
ST7	MEF2C
FOXC1	MEF2C
PPP1R12A	MEF2C
PFN2	MEF2C
CASP10	PTPRC
MATK	PTPRC
TACC3	PTPRC
CCDC88C	PTPRC
SLAMF7	PTPRC
TNFRSF1B	PTPRC
ARAP2	PTPRC
GNA15	PTPRC
ABCA7	PTPRC
OSBPL3	PTPRC
ARHGAP15	PTPRC
PAG1	PTPRC
ST7	CDC14B
CALCOCO1	CDC14B
CC2D2A	CDC14B
PPP1R12A	CDC14B
ANKRD44	CDC14B
RHOBTB1	CDC14B
MEF2C	CDC14B
SCYL3	ZNF510
CFLAR	ZNF506
TUBG2	ZNF506
SPATA7	ZNF506
LIMA1	ZNF506
USP36	ZNF506
CDK17	ZNF506
SEC31B	ZNF506
RFX3	ZNF506
MIPEP	JMJD4
AIFM2	AACS
DNM2	DELE1
CALCOCO1	PHLPP1
PLEKHA5	PHLPP1
PPP1R12A	PHLPP1
GNB5	PHLPP1
CDKL5	ATP8B1
CYTH3	ATP8B1
CD9	ATP8B1
SAMD4A	ATP8B1
CD44	ATP8B1
RAI14	ATP8B1
KIF1B	ATP8B1
MEF2A	ATP8B1
PTPN3	ATP8B1
ACTN1	ATP8B1
MRVI1	ATP8B1
PPP2R3A	ATP8B1
FERMT2	ATP8B1
FRY	ATP8B1
PPP1R12B	ATP8B1
DLGAP4	ATP8B1
RBM6	SMARCD3
ARHGAP33	SMARCD3
OSBPL7	SMARCD3
ARHGAP44	SMARCD3
RHBDF1	SMARCD3
NISCH	SMARCD3
AKAP8L	SMARCD3
MTMR11	SMARCD3
PHPT1	SMARCD3
TNK2	SMARCD3
PLEKHH3	SMARCD3
LIMS2	SMARCD3
CRMP1	SMARCD3
ARHGEF10L	SMARCD3
ST7L	WDR70
ACAA1	WDR70
FGR	FYB1
CASP10	FYB1
STAB1	FYB1
TYMP	FYB1
TNFRSF1B	FYB1
ARAP2	FYB1
KCNQ1	FYB1
FAR2	FYB1
OSBPL3	FYB1
PAG1	FYB1
MBNL3	FYB1
MBTD1	STRADB
WDR37	STRADB
GGCT	BZW1
SERPINB1	BZW1
TRAF3IP2	BZW1
TMEM159	PGR
MTMR11	PGR
HDAC9	PGR
FOXC1	PGR
LIMCH1	PGR
MPPED2	PGR
PYGM	PGR
PFN2	PGR
ITGA8	PGR
LAMP2	ME2
SOAT1	ME2
RAB27A	ME2
ACER3	ME2
SNX11	C5orf22
ZNF200	C5orf22
ALG1	C5orf22
SPDL1	C5orf22
ZNF275	C5orf22
GCFC2	FAM135A
MAP4K3	FAM135A
UFL1	FAM135A
TTC17	FAM135A
ATG2B	FAM135A
DPP8	FAM135A
ZNF37A	FAM135A
TMEM176A	EPB41L3
CASP10	EPB41L3
TYROBP	EPB41L3
ALOX5	EPB41L3
WAS	EPB41L3
DEF6	EPB41L3
TYMP	EPB41L3
PRKCH	EPB41L3
ARAP2	EPB41L3
GNA15	EPB41L3
