A	B
SLC7A2	B4GALT1
ST3GAL1	B4GALT1
ARHGAP6	B4GALT1
H6PD	B4GALT1
MTHFD2	B4GALT1
ATP1B3	B4GALT1
MOCOS	B4GALT1
ABCC8	FOLH1
CD22	FOLH1
PLEKHB1	FOLH1
GRAMD1B	FOLH1
LRRC7	FOLH1
FUT8	FOLH1
DEPDC1B	FOLH1
CDH1	FOLH1
NRIP2	FOLH1
MCOLN3	FOLH1
CAMK2B	FOLH1
PTPRU	FOLH1
LIMCH1	FOLH1
BCAS1	FOLH1
SPTB	FOLH1
FSCN1	FOLH1
SPAG5	FOLH1
CDH7	FOLH1
TRPM3	FOLH1
EFR3B	FOLH1
CC2D2A	EPDR1
EML1	EPDR1
FGR	ITPKC
FSTL3	ITPKC
MOCOS	ITPKC
JADE1	ITPKC
MPP5	NLK
ACER3	NLK
KCNH2	MT3
FMO1	GNAO1
MRC2	GNAO1
ADGRA2	GNAO1
NOTCH3	GNAO1
ALPK1	SH3BP2
SEC61A1	NOP14
TNFRSF1A	NOP14
KLHL13	NID2
BTN3A1	NID2
HDAC9	NID2
CDON	NID2
TRO	NID2
RHOBTB1	NID2
ARHGAP15	NID2
PPP1R12B	NID2
TRPM3	NID2
MRC2	PTHLH
PPP1R12B	PTHLH
CAPN6	PTHLH
SERTAD4	PTHLH
SYNJ2	RFX2
ARHGAP33	DNMT3B
TSPOAP1	DNMT3B
BAIAP3	DNMT3B
CRMP1	DNMT3B
NAALAD2	DNMT3B
MYH7B	DNMT3B
SIRT2	PDRG1
KLHL13	EPB41L1
ETV1	EPB41L1
HFE	EPB41L1
ADGRA2	EPB41L1
CDON	EPB41L1
EML1	EPB41L1
NEO1	EPB41L1
MAP2	EPB41L1
PGR	EPB41L1
DLG3	EPB41L1
ABCC8	DOCK3
PLEKHB1	DOCK3
GRAMD1B	DOCK3
LRRC7	DOCK3
NRIP2	DOCK3
MCOLN3	DOCK3
CAMK2B	DOCK3
PTPRU	DOCK3
LIMCH1	DOCK3
BCAS1	DOCK3
SPTB	DOCK3
SPAG5	DOCK3
EFR3B	DOCK3
FOLH1	DOCK3
ARHGAP33	C3orf18
HFE	C3orf18
ZFP64	C3orf18
SLC46A1	C3orf18
CLEC16A	MAVS
TTC38	MAVS
ISOC1	DYNLL1
GPR137B	DYNLL1
PDRG1	DYNLL1
TSPOAP1	P2RX7
CNTN1	P2RX7
COL9A2	P2RX7
HHAT	P2RX7
ARHGAP15	P2RX7
NID2	P2RX7
PER3	SLC23A2
TARBP1	SLC23A2
NAV3	SLC23A2
EVC	SLC23A2
BTN3A1	OAS1
MRTO4	RPLP0
ENO1	RPLP0
RHBDD2	PEBP1
PPP1R12B	NOS1
SEMA5B	NOS1
RGS11	ANKRD24
MYH7B	ANKRD24
CCDC124	BLVRB
SOX8	PCBP4
LIMS2	PCBP4
BAIAP3	YPEL3
MYDGF	NDUFB2
ADIPOR2	IRAK3
AASS	IRAK3
ARHGAP6	IRAK3
CLTCL1	IRAK3
WIPI1	IRAK3
PLXNA2	IRAK3
JADE1	IRAK3
SESN1	IRAK3
NRIP2	P3H2
LIMCH1	P3H2
FSCN1	P3H2
SPAG5	P3H2
AKR1B1	P3H2
PDE4A	CHRD
PSME4	PABPC4
SIRT2	CERS4
NFIX	EFNB1
ADGRA2	EFNB1
GLI2	EFNB1
RBMS2	TNRC6A
PTPRU	PLEKHG2
STAG3	PLEKHG2
LIMS2	PLEKHG2
PCBP4	PLEKHG2
DGKD	PITPNM2
NFKB2	PITPNM2
DNAJB11	PUS7
CDH19	NRCAM
PPP1R12B	SLC26A4
CAPN6	SLC26A4
SERTAD4	SLC26A4
NID2	SLC26A4
KLHL13	ITGA6
ETV1	ITGA6
RAI14	ITGA6
DKK3	ITGA6
EPB41L2	ITGA6
SLC23A2	ITGA6
TMEM159	NLRP1
CCDC88C	NLRP1
ADAM22	ZFHX4
HFE	ZFHX4
LIMA1	ZFHX4
ANKRD44	ZFHX4
ADAM22	ESR1
CDON	ESR1
NTN4	ESR1
PPP1R12B	ESR1
ARNTL2	ANGPT2
TLL1	ANGPT2
IL4R	ANGPT2
HGF	CD200
LZTS1	CD200
FGR	SLC7A8
AASS	SLC7A8
CLTCL1	SLC7A8
RPS6KA2	SLC7A8
MOCOS	SLC7A8
PLXNA2	SLC7A8
JADE1	SLC7A8
CARMIL1	SLC7A8
SESN1	SLC7A8
TBXA2R	SLC22A17
GAS7	SLC22A17
SEMA3B	SLC22A17
NEDD4L	SLC22A17
ENTPD2	SLC22A17
CYFIP2	SLC22A17
ERBB3	SLC22A17
SDK2	SLC22A17
ST6GALNAC2	SLC22A17
ARHGAP15	SLC22A17
LTBP4	SLC22A17
IL20RA	TGM1
GLI2	TGM1
EFNB1	TGM1
SLC23A2	SEMA6A
TMEM132A	TYRO3
RRAGD	TYRO3
PTPRU	TYRO3
TESK2	TYRO3
FSCN1	TYRO3
SPAG5	TYRO3
KIF3C	TYRO3
ARHGAP33	CAPN3
TSPOAP1	CAPN3
BAIAP3	CAPN3
CRMP1	CAPN3
DNMT3B	CAPN3
FGR	TBX15
SLC7A2	TBX15
ARHGAP6	TBX15
MTHFD2	TBX15
PDK3	TBX15
CLTCL1	TBX15
FSTL3	TBX15
RPS6KA2	TBX15
PLXNA2	TBX15
JADE1	TBX15
SESN1	TBX15
STK17B	TBX15
B4GALT1	TBX15
ITPKC	TBX15
IRAK3	TBX15
SLC7A8	TBX15
ENTPD2	COL9A3
SLC9A3	COL9A3
PDZD4	COL9A3
SDK2	COL9A3
ST6GALNAC2	COL9A3
RAP1GAP	COL9A3
TP53INP2	COL9A3
ARHGAP33	UNC13D
TSPOAP1	UNC13D
PDZD4	UNC13D
RGS11	UNC13D
MYH7B	UNC13D
ANKRD24	UNC13D
NAV3	EPB41L4B
DEF6	PTGS1
