A	B
SPAG9	POLR3E
WIZ	POLR3E
PRICKLE3	POLR3E
PSMC4	POLR3E
LSG1	POLR3E
NOP16	POLR3E
MRTO4	POLR3E
LASP1	ATP2B4
PLXND1	ATP2B4
TSPAN9	ATP2B4
AGPAT4	ATP2B4
ARHGAP31	ATP2B4
PREX2	ATP2B4
CREBBP	ZC3H11A
CRY1	ZC3H11A
SPAST	ZC3H11A
PHLPP2	ZC3H11A
TTC27	RIOK2
SLC39A9	RIOK2
ABHD5	YIPF1
ABCF2	YIPF1
LSG1	YIPF1
NOP16	YIPF1
POLR3E	YIPF1
SCYL3	NDC1
SPPL2B	FLYWCH1
MRI1	FLYWCH1
CUL7	FLYWCH1
PHKA2	FLYWCH1
MCUB	PARP12
MAN2B2	PARP12
WWTR1	PARP12
ARHGAP31	PARP12
FUCA2	ALDH18A1
TSPOAP1	TARBP1
CTPS2	TARBP1
NIPAL3	GATB
MPND	GATB
PARP3	GATB
CLK1	MXD1
FARP2	CDK17
PIK3C2A	CDK17
PGM3	CDK17
PI4K2B	CDK17
NOP58	CDK17
ATP11B	CDK17
SLC25A5	DNAJC25
CIAPIN1	DNAJC25
TTC19	DNAJC25
IFNGR1	DNAJC25
CLEC16A	CTDP1
PHF23	CTDP1
KIAA0556	CTDP1
POLR3E	CTDP1
YIPF1	CTDP1
KIAA0100	WNK1
UBE3C	WNK1
ELOA	WNK1
ABHD5	WNK1
SPAST	WNK1
DCUN1D1	WNK1
SEC63	CCAR1
BOD1L1	CCAR1
ATP11B	CCAR1
ZNF263	OGFR
NADK	OGFR
PTBP1	OGFR
CALCOCO1	OGFR
RIPOR1	OGFR
STAB1	GNA15
MKS1	PIGV
FARP2	SNRNP40
ST7L	SNRNP40
ZNF207	SNRNP40
ZDHHC6	SNRNP40
BRD9	SNRNP40
SARS1	SNRNP40
TTC17	SNRNP40
RPAP3	QSER1
MYCBP2	QSER1
MAPK9	QSER1
DCBLD2	QSER1
GGCT	MPC1
PNPLA4	MPC1
GATB	MPC1
ARF5	ACAA1
NDUFAB1	ACAA1
GGCT	ACAA1
TRAPPC6A	ACAA1
TSR3	ACAA1
LARS2	ACAA1
COX15	ACAA1
EIPR1	ACAA1
AP2S1	ACAA1
AKR7A2	ACAA1
PHPT1	ACAA1
GATB	ACAA1
PLXND1	HDAC7
MCUB	HDAC7
WWTR1	HDAC7
TYMP	HDAC7
ARHGAP31	HDAC7
TMSB10	HDAC7
FLT4	HDAC7
PARP12	HDAC7
KDM7A	NCKAP1
SPAG9	NCKAP1
SPRTN	NCKAP1
ABHD5	NCKAP1
SPAST	NCKAP1
NDC1	NCKAP1
SLC30A9	MRPS35
PEX3	MRPS35
C12orf4	MRPS35
LASP1	GUCY1B1
PLXND1	GUCY1B1
CYTH3	GUCY1B1
EHD2	GUCY1B1
AGPAT4	GUCY1B1
ARHGAP31	GUCY1B1
PREX2	GUCY1B1
KITLG	GUCY1B1
PLEKHA5	GUCY1B1
NRIP2	GUCY1B1
ATP2B4	GUCY1B1
FARP2	SFSWAP
ZNF207	SFSWAP
PTBP1	SFSWAP
SARS1	SFSWAP
FAM160A2	SFSWAP
SNRNP40	SFSWAP
MYCBP2	MON2
HEATR5B	MON2
AQR	MON2
OFD1	MON2
TPR	MON2
PPP1R12A	MON2
BAZ1B	GPBP1
BTBD7	GPBP1
NDUFAF7	CS
IBTK	CS
GGCT	CS
PNPLA4	CS
LARS2	CS
STAU2	CS
MPC1	CS
BAD	MRPS24
NDUFAB1	MRPS24
POLR2J	MRPS24
REX1BD	MRPS24
TSR3	MRPS24
MPND	MRPS24
UQCRC1	MRPS24
PHPT1	MRPS24
FKBP4	ELMO2
BAZ1B	ELMO2
EEF1AKNMT	ELMO2
BTBD7	ELMO2
ATP2C1	ELMO2
SPAST	ELMO2
PHF23	ELMO2
ZC3H11A	ELMO2
FBXL3	WAPL
KDM7A	WAPL
SPAG9	WAPL
ZRANB1	WAPL
VPS13D	WAPL
POLR3E	WAPL
NDC1	WAPL
TFPI	VMP1
SLC25A5	VMP1
RUFY3	VMP1
IFNGR1	VMP1
RCN1	VMP1
NOP58	VMP1
TRAF3IP2	VMP1
AGPS	APPBP2
PPP1R12A	APPBP2
GPBP1	APPBP2
RANBP9	EIF4B
CUL3	EIF4B
ARID1B	EIF4B
KMT2C	EIF4B
GDI2	EIF4B
PIGQ	BICRA
AKAP8L	BICRA
CTDP1	BICRA
FAM214B	SPHK2
PTBP1	RPL18
RNH1	RPL18
PNKP	RPL18
BAD	CA11
MPND	ISOC2
UQCRC1	ISOC2
BAK1	ISOC2
MRPS24	ISOC2
RBM6	U2AF2
RNH1	U2AF2
RPL18	U2AF2
REX1BD	EPN1
MED24	EPN1
PNPLA6	EPN1
TSPAN17	EPN1
PPP1R3F	EPN1
HEBP2	EPN1
USE1	EPN1
MRPL43	EPN1
MRPS24	EPN1
ARF5	MED29
DYRK4	MED29
PPP5C	MED29
HEBP1	MED29
NCAPH2	MED29
B4GALT7	MED29
AP2S1	MED29
ATP6V1H	MED29
MRPL43	MED29
HPF1	MED29
CREBBP	ZNF275
FBXL3	ZNF275
PIAS1	ZNF275
EIF4B	MTMR1
MED24	GPC1
SZRD1	GPC1
MRPS24	GPC1
BAD	HAGH
POLDIP2	HAGH
POLR2J	HAGH
REX1BD	HAGH
TSR3	HAGH
MED24	HAGH
TSPAN17	HAGH
HEBP2	HAGH
SZRD1	HAGH
MRPL43	HAGH
MRPS24	HAGH
EPN1	HAGH
M6PR	RNF4
ZNF207	RNF4
WIZ	RNF4
ERP44	RNF4
SEC63	RNF4
ADSS2	RNF4
CTNNA1	RNF4
CLPTM1L	RNF4
MRTO4	RNF4
LASP1	CASP8
