A	B
VAMP3	ELOVL1
PLEKHH1	ELOVL1
TMCC3	ELOVL1
ST3GAL6	ELOVL1
SLC12A2	ELOVL1
ERBB3	ELOVL1
PACC1	ELOVL1
PRKCQ	ELOVL1
FAM107B	ELOVL1
DIP2B	ELOVL1
ITGAL	SPI1
SLC11A1	SPI1
ADAM28	SPI1
LRRC7	MPPED2
GUCY1B1	MPPED2
SNAP91	MPPED2
LAMP2	FGFR2
TMEM98	FGFR2
ADIPOR2	FGFR2
MYLIP	FGFR2
SYPL1	FGFR2
NFIX	FGFR2
CD9	FGFR2
HHATL	FGFR2
BRCA1	FGFR2
SEMA3B	FGFR2
CLDN11	FGFR2
PHLDB1	FGFR2
VRK2	FGFR2
FUT8	FGFR2
DAPK2	FGFR2
RAI14	FGFR2
MAP4	FGFR2
COL9A2	FGFR2
VAMP3	FGFR2
PLEKHH1	FGFR2
TMCC3	FGFR2
WNK1	FGFR2
LIMCH1	FGFR2
SLC12A2	FGFR2
ERBB3	FGFR2
PACC1	FGFR2
PRKCQ	FGFR2
FAM107B	FGFR2
DIP2B	FGFR2
ELOVL1	FGFR2
KLHL13	EML1
CDKL5	EML1
FAR2	EML1
SLC25A13	MTFR1
LAMP2	MTFR1
MYLIP	MTFR1
SYPL1	MTFR1
BRCA1	MTFR1
DERA	MTFR1
VRK2	MTFR1
FUT8	MTFR1
WWC3	MTFR1
VAMP3	MTFR1
FOXN3	MTFR1
TMCC3	MTFR1
ST3GAL6	MTFR1
SLC12A2	MTFR1
ANKRD44	MTFR1
PACC1	MTFR1
DIP2B	MTFR1
FGFR2	MTFR1
FGR	SP100
CFH	SP100
CASP10	SP100
TFPI	SP100
SERPINB1	SP100
TYMP	SP100
TNFRSF1B	SP100
LCP2	SP100
FOXC1	SP100
TRAM2	SP100
TNFRSF12A	KLF6
PLAUR	KLF6
WWTR1	KLF6
LCP2	KLF6
PRDM1	KLF6
YBX3	KLF6
SBNO2	KLF6
TRAM2	KLF6
SP100	KLF6
SYPL1	PLPP1
DERA	PLPP1
ABHD5	TRAM1
ELOVL5	TRAM1
DERA	TRAM1
IFNGR1	TRAM1
IKZF2	TRAM1
PI4K2B	TRAM1
VAMP3	TRAM1
MTFR1	TRAM1
PLPP1	TRAM1
CD38	PHKA1
PAX6	PHKA1
ANOS1	PHKA1
PIK3C2A	PHKA1
CHDH	PHKA1
ATP1A2	PHKA1
HSD17B6	PHKA1
PREX2	PHKA1
EYA2	PHKA1
TMEM176A	TNFRSF1A
ST3GAL1	TNFRSF1A
SLC11A1	TNFRSF1A
WWTR1	TNFRSF1A
SAMD4A	TNFRSF1A
SERPINB1	TNFRSF1A
HEBP2	TNFRSF1A
MTHFD2	TNFRSF1A
TSPOAP1	CACNB1
MARK4	CACNB1
SYT7	CACNB1
LAP3	RHOA
AK2	RHOA
DERA	RHOA
CAMKK1	PRKCZ
GAS7	PRKCZ
HECW1	SYT1
SYT7	SYT1
SYT13	SYT1
NRXN3	SYT1
GABRA1	SYT1
XK	SYT1
RIMBP2	SYT1
GUCY1B1	SYT1
PRKCZ	SYT1
CAMKK1	PDZD4
CACNG3	PDZD4
DLX6	PDZD4
MATK	PDZD4
SYT7	PDZD4
NCDN	PDZD4
CYP46A1	PDZD4
CAMK2B	PDZD4
SEZ6	PDZD4
CA11	PDZD4
NGEF	PDZD4
PRKCZ	PDZD4
HECW1	ATP2B3
KLHL13	ATP2B3
CAMKK1	ATP2B3
CACNG3	ATP2B3
DLX6	ATP2B3
MAP3K9	ATP2B3
ARHGAP44	ATP2B3
SYN1	ATP2B3
CDKL5	ATP2B3
SYT7	ATP2B3
NCDN	ATP2B3
NRXN3	ATP2B3
LRRC7	ATP2B3
FSTL4	ATP2B3
KCNH2	ATP2B3
CAMK2B	ATP2B3
DGAT2	ATP2B3
SEZ6	ATP2B3
SLC9A7	ATP2B3
PRKCZ	ATP2B3
SYT1	ATP2B3
TRAM1	ROCK1
PDK4	CBFB
ADIPOR2	CBFB
SYPL1	CBFB
ABHD5	CBFB
WWTR1	CBFB
