A	B
BICRA	STXBP2
COASY	STXBP2
GRIPAP1	STXBP2
DAZAP1	STXBP2
SELENOO	STXBP2
PTPN23	STXBP2
XAB2	STXBP2
EDC4	MAP2K7
STXBP2	MAP2K7
RHBDF1	DGKD
CC2D2A	RARB
CALCRL	RARB
SLC9A3R2	RARB
EML1	RARB
PLPP1	RARB
LNX1	RARB
TSG101	TM9SF3
MAP3K14	NFKB2
TNK2	NFKB2
LIMA1	PPP1R12B
MCUB	IL4R
MAP3K14	IL4R
MVP	IL4R
SAMD4A	IL4R
PLEKHO1	IL4R
ARNTL2	IL4R
SLC4A7	IL4R
TEAD2	IL4R
BRCA1	PAK3
APBA3	SNRPA
ALDH3B1	APBB1IP
CD79B	APBB1IP
TRAF3IP3	APBB1IP
TACC3	APBB1IP
RASGRP2	APBB1IP
DAPP1	APBB1IP
FCGR2B	APBB1IP
UNKL	LRCH4
OGFR	LRCH4
SFSWAP	LRCH4
METTL22	LRCH4
RNF126	LRCH4
XAB2	LRCH4
STXBP2	LRCH4
DGKD	LRCH4
SCML1	FAM76B
METTL22	FAM76B
RORA	FAM76B
PRICKLE3	SIRT6
FAM114A2	POLD3
PIAS1	JADE1
RASSF1	FGFR1
GAS7	FBLN1
NTN1	FBLN1
REEP1	FBLN1
GLI2	FBLN1
SEMA3C	FBLN1
TIMP2	ITGA8
NTN4	ITGA8
MATK	CST7
TRAF3IP3	CST7
CD6	CST7
WAS	CST7
CD74	CST7
BIRC3	CST7
SLAMF7	CST7
BTN3A1	CST7
LCP2	CST7
DGKA	CST7
DAPP1	CST7
SIDT1	CST7
ARHGAP15	CST7
SLC25A13	PIAS2
UFL1	PIAS2
TAF11	PIAS2
PKN2	PIAS2
LRRC40	PIAS2
RABGAP1	MCCC1
NEDD4L	NEBL
MPPED2	NEBL
FGFR2	NEBL
RPS6KA6	NEBL
PICALM	ACER3
NOP16	TIGAR
TSPOAP1	ZCWPW1
CRMP1	ZCWPW1
SLC46A1	ZCWPW1
ITGAL	P2RY10
MATK	P2RY10
TRAF3IP3	P2RY10
CD6	P2RY10
CCDC88C	P2RY10
RUNX3	P2RY10
BIRC3	P2RY10
SLAMF7	P2RY10
BTN3A1	P2RY10
STAP1	P2RY10
ADAM28	P2RY10
DGKA	P2RY10
CLEC2D	P2RY10
DAPP1	P2RY10
ACAP1	P2RY10
SIDT1	P2RY10
CST7	P2RY10
SLC25A13	VDAC3
SH3YL1	PCM1
JARID2	TNRC6C
AGK	CBFA2T2
RABEP1	ITCH
ITGA2B	MYH7B
TNK2	MYH7B
CRMP1	MYH7B
BAD	TOLLIP
ATP6AP1	TOLLIP
SDF4	TOLLIP
NRIP2	RUNX1T1
PRDM6	RUNX1T1
IFRD1	THOC1
IP6K2	THOC1
SLC25A43	FKBP7
LAMP2	XRCC5
AP2B1	XRCC5
MATK	SP140
CCDC88C	SP140
WAS	SP140
CD74	SP140
BIRC3	SP140
BTN3A1	SP140
SH2D2A	SP140
POU2F2	SP140
STAP1	SP140
LCP2	SP140
TSPAN32	SP140
DGKA	SP140
ANKRD44	SP140
CD84	SP140
KCNAB2	SP140
SIDT1	SP140
CST7	SP140
P2RY10	SP140
INPP4A	MKNK1
HDAC7	MKNK1
PKD1	REXO1
PRICKLE3	REXO1
STXBP2	REXO1
LRCH4	REXO1
ELOA	SAR1A
ARID4A	CDC14A
MARK4	CIC
BCAR1	CIC
XAB2	CIC
REX1BD	PAFAH1B3
RTN4R	PAFAH1B3
HOMER3	PAFAH1B3
PHPT1	PAFAH1B3
ROGDI	PAFAH1B3
ANO8	PAFAH1B3
MKS1	OPHN1
CNTLN	OPHN1
PKM	PGM1
IBTK	DDX1
ALDH18A1	DDX1
SAR1A	DDX1
ARF5	DNM2
NCAPH2	DNM2
CFH	EPB41L2
WWTR1	EPB41L2
KITLG	EPB41L2
ATP2B4	EPB41L2
FAM107B	EPB41L2
REEP1	EPB41L2
NDE1	EPB41L2
MGLL	EPB41L2
NTN4	EPB41L2
SEMA3C	EPB41L2
FGFR1	EPB41L2
ATP2B1	STX7
IP6K2	RABL2B
TUBE1	RABL2B
ALAS1	KEAP1
AIFM2	KEAP1
ELOVL1	KEAP1
HSD17B10	KEAP1
DNM2	SLC35C2
CROT	CRYBG3
MRE11	RFX3
ANAPC4	RFX3
HSF2	RIF1
TSPAN6	SLC4A4
DSG2	SLC4A4
PRSS8	SLC4A4
MPPED2	SLC4A4
FGFR2	SLC4A4
RPS6KA6	SLC4A4
LNX1	SLC4A4
CLCN4	SLC4A4
CLUL1	SLC4A4
ATP2C1	SMARCA2
IARS2	SMARCA2
CLCN4	SMARCA2
RAB27A	PUM3
FUT8	CPOX
INPP4A	CPOX
USP28	CPOX
MPHOSPH9	CPOX
HDHD5	CPOX
AP3M2	CPOX
MSL3	CLDND1
RNF19A	CLDND1
SP100	CLDND1
RFX3	CLDND1
SPATA20	MOK
KIAA0556	MOK
TLE2	MOK
RHBDF1	DLGAP4
TRIO	DLGAP4
MNT	DLGAP4
DGKD	DLGAP4
VMP1	CXCL2
PTGS2	CXCL2
DGKA	TCF7
STK10	TCF7
ACAP1	TCF7
GNAI3	OSTM1
MAP3K13	PCNP
PPP1R12A	MEF2C
MCUB	PTPRC
MATK	PTPRC
CCDC88C	PTPRC
BIRC3	PTPRC
SLAMF7	PTPRC
BTN3A1	PTPRC
SH2D2A	PTPRC
POU2F2	PTPRC
STAP1	PTPRC
DGKA	PTPRC
ANKRD44	PTPRC
CLEC2D	PTPRC
SIDT1	PTPRC
ARHGAP15	PTPRC
P2RY10	PTPRC
VRK2	UBA5
TRNT1	UBA5
WAS	STK17B
CELF2	STK17B
ANKRD44	STK17B
KCNAB2	STK17B
STK10	STK17B
PAG1	STK17B
CSDE1	CDC14B
PCNP	CDC14B
ETV1	LRP2
CDH1	LRP2
DSG2	LRP2
PRSS8	LRP2
ATP2C2	LRP2
ZMYND12	LRP2
MPPED2	LRP2
FGFR2	LRP2
RPS6KA6	LRP2
CLUL1	LRP2
SLC4A4	LRP2
NDUFS1	AACS
UNG	PHLPP1
VRK2	WDR70
MCUB	FYB1
MATK	FYB1
CD79B	FYB1
CCDC88C	FYB1
BIRC3	FYB1
SLAMF7	FYB1
BTN3A1	FYB1
DGKA	FYB1
ANKRD44	FYB1
CLEC2D	FYB1
SIDT1	FYB1
TXK	FYB1
ARHGAP15	FYB1
P2RY10	FYB1
SP140	FYB1
RWDD2A	STRADB
RUFY3	STRADB
CFH	PGR
ITGA8	PGR
EPB41L2	PGR
KIF2A	ME2
HSF2	CCNT2
RAD18	CCNT2
MCUB	TRAF5
ITGAL	TRAF5
TRAF3IP3	TRAF5
CD6	TRAF5
CCDC88C	TRAF5
WAS	TRAF5
RUNX3	TRAF5
BIRC3	TRAF5
DEF6	TRAF5
PLEKHO1	TRAF5
BTN3A1	TRAF5
ADAM28	TRAF5
LCP2	TRAF5
CELF2	TRAF5
TSPAN32	TRAF5
DGKA	TRAF5
RASSF1	TRAF5
RASGRP2	TRAF5
KCNAB2	TRAF5
DAPP1	TRAF5
STK10	TRAF5
