A	B
LTBP1	FNIP2
SPPL2B	TTC17
PGM3	TTC17
ATP6V0A1	TTC17
RNF19A	TTC17
SKAP2	FOXN3
GDE1	FOXN3
RALBP1	FOXN3
NDUFS1	FOXN3
WWC3	FOXN3
USP28	FOXN3
ARID1B	FOXN3
MAPK9	FOXN3
PIK3CB	FOXN3
STPG1	AKR7A2
LAP3	MRTO4
RPAP3	MRTO4
PTBP1	MRTO4
MVP	MRTO4
GCLM	MRTO4
TOMM34	MRTO4
BAK1	MRTO4
AP2S1	MRTO4
C12orf4	MRTO4
RCN1	MRTO4
MAD1L1	USE1
BTN3A1	NRIP2
IBTK	AP5M1
BTBD7	AP5M1
R3HDM1	AP5M1
MAPK9	AP5M1
CLCN6	ANAPC4
TTC19	ANAPC4
ZNF839	ANAPC4
BRD9	ANAPC4
WDR37	ANAPC4
FAM160A2	ANAPC4
PAF1	TRAPPC3
STRAP	TRAPPC3
NSMAF	TRAPPC3
HEBP2	TRAPPC3
RECQL	THRAP3
RANBP9	THRAP3
ZRANB1	THRAP3
VRK2	THRAP3
VEZT	THRAP3
ABCF2	THRAP3
DCUN1D1	THRAP3
UBR7	ARID4B
SEC63	ARID4B
TBC1D23	ARID4B
MTREX	ARID4B
THRAP3	ARID4B
ALS2	SDCCAG8
SPAG9	SDCCAG8
MAP4K5	SDCCAG8
SPAST	SDCCAG8
BRD9	SDCCAG8
GOPC	SDCCAG8
RABGAP1	KIF1B
MAP4K3	KIF1B
ZMYND11	KIF1B
NDUFS1	KIF1B
FAM13B	KIF1B
PEX3	KIF1B
ADSS2	KIF1B
CTNNA1	KIF1B
WWC3	KIF1B
USP28	KIF1B
MAPK9	KIF1B
MAN2B2	TBC1D22A
TTC27	TBC1D22A
CREBBP	ATP9A
CSDE1	ATP9A
RABGAP1	ATP9A
ZMYND11	ATP9A
RALBP1	ATP9A
ZRANB1	ATP9A
FAM13B	ATP9A
VCL	ATP9A
USP28	ATP9A
KIF1B	ATP9A
MYCBP2	FAM168A
CEP68	FAM168A
FYN	GALC
GLT8D1	GALC
VIM	GALC
GGCT	NOP58
ZNF207	NOP58
TTC19	NOP58
MVP	NOP58
GCLM	NOP58
RCN1	NOP58
UPF1	SZRD1
NUDCD3	SZRD1
AIFM2	SZRD1
GDE1	CUL1
SCMH1	CUL1
PSMC4	CUL1
RNF14	CUL1
RB1CC1	CUL1
VEZT	CUL1
SARS1	CUL1
ATP6V1H	CUL1
VPS13D	CUL1
DPM1	FAM114A2
KRIT1	FAM114A2
ELOA	FAM114A2
VEZT	FAM114A2
SLC39A9	FAM114A2
ZZZ3	FAM114A2
CLPTM1L	FAM114A2
HCCS	TAB2
SKAP2	TAB2
CREBBP	TAB2
MYCBP2	TAB2
GDE1	TAB2
UBE3C	TAB2
MAPK9	TAB2
RNF14	GINM1
MAT2B	GINM1
ARID4B	GINM1
ZFYVE16	EIF2AK2
CRAMP1	USP36
RECQL	KMT2C
SKAP2	KMT2C
CSDE1	KMT2C
UBE3C	KMT2C
RABEP1	KMT2C
POLR2B	KMT2C
PIK3CB	KMT2C
ATP9A	KMT2C
PAFAH1B1	PUM2
SEC62	PUM2
R3HDM1	PUM2
VAMP3	PUM2
FOXN3	PUM2
MAD1L1	MRPL43
NDUFAB1	MRPL43
ST7	MRPL43
DYRK4	MRPL43
UQCRC1	MRPL43
TFB1M	MRPL43
GABARAPL2	MRPL43
CTPS2	MRPL43
DYRK4	HPF1
MRPL43	HPF1
M6PR	ZFR
HCCS	ZFR
SKAP2	ZFR
ELOA	ZFR
RALBP1	ZFR
VPS13D	ZFR
VAMP3	ZFR
PIK3CB	ZFR
MAP4K5	ZNF280C
NISCH	TRAF1
RNF14	RC3H2
VEZT	RC3H2
CIAPIN1	TRAF3IP2
RANBP9	TRAF3IP2
ELOVL5	TRAF3IP2
ALAS1	TRAF3IP2
ABCF2	TRAF3IP2
ZNF800	TRAF3IP2
SKAP2	DCBLD2
CREBBP	DCBLD2
GDE1	DCBLD2
CSDE1	DCBLD2
CEP68	DCBLD2
RNF14	DCBLD2
NDUFS1	DCBLD2
RB1CC1	DCBLD2
WWC3	DCBLD2
USP28	DCBLD2
CELF2	DCBLD2
MAPK9	DCBLD2
FOXN3	DCBLD2
KIF1B	DCBLD2
ATP9A	DCBLD2
KMT2C	DCBLD2
PUM2	DCBLD2
NDUFAF7	SOAT1
DHX33	SOAT1
RPAP3	SOAT1
GGCT	SOAT1
ST3GAL1	SOAT1
PTBP1	SOAT1
MVP	SOAT1
GCLM	SOAT1
LSG1	SOAT1
H6PD	SOAT1
RFC2	SOAT1
RRP12	SOAT1
NOP58	SOAT1
PSMC4	GDI2
AQR	GDI2
POLR2B	GDI2
TRAPPC3	GDI2
UBE3C	ATG5
