A	B
HGF	ALPK1
FAS	ALPK1
LCP2	ALPK1
MXD1	ALPK1
RAB27A	ALPK1
RASGRP2	LLGL2
PTBP1	PDE8A
ZCCHC8	PDE8A
PI4K2B	PDE8A
PHLPP2	PDE8A
DGKA	PDE8A
NIPAL3	CLCN4
PDK2	CLCN4
MDH1	CLCN4
NDUFS1	CLCN4
ALAS1	CLCN4
DSG2	CLCN4
USP28	CLCN4
PKP2	CLCN4
USP13	CLCN4
CS	CLCN4
LIMCH1	CLCN4
MAOB	CLCN4
MVP	NLE1
RCN1	NLE1
ALDH18A1	NLE1
TNFRSF1A	NLE1
NDUFAB1	SDHA
PDK2	SDHA
PNPLA4	SDHA
ALAS1	SDHA
RRAGD	SDHA
NEDD4L	SDHA
PKP2	SDHA
USP13	SDHA
MAOB	SDHA
CLCN4	SDHA
ARHGAP33	GSDMB
CDK11A	GSDMB
CLK1	GSDMB
TRO	GSDMB
TSPOAP1	ADAM11
CHDH	ADAM11
ANK1	ADAM11
PYGM	ADAM11
MDH1	PPP2R3A
NDUFS1	PPP2R3A
DSG2	PPP2R3A
PKP2	PPP2R3A
USP13	PPP2R3A
MAOB	PPP2R3A
CLCN4	PPP2R3A
VIM	GLI2
AGPAT4	GLI2
TIMP2	GLI2
EPHA3	GLI2
VASH1	GLI2
EVC	GLI2
MRPS24	MRPS34
LASP1	NOTCH3
ARHGAP33	NOTCH3
CYTH3	NOTCH3
TIMP2	NOTCH3
LIMA1	NOTCH3
MYLK	NOTCH3
TRO	NOTCH3
EVC	NOTCH3
CD9	MGLL
PRKCH	MGLL
PREX2	MGLL
TIE1	MGLL
VASH1	MGLL
RBM6	SCARF1
OSBPL7	SCARF1
TMEM132A	SCARF1
BAIAP2L1	SCARF1
LUC7L	SCARF1
CDK11A	SCARF1
MAMLD1	SCARF1
PARP12	SCARF1
OGFR	SCARF1
IFI35	SCARF1
MAP4K5	HACD3
ACTN1	ENO1
ITGA3	MYDGF
METTL1	MYDGF
HOMER3	MYDGF
TNFRSF1A	MYDGF
CACNB1	MYDGF
TFE3	MYDGF
TCF3	MYDGF
NLE1	MYDGF
XYLT2	ANO8
NDUFAB1	ACAT1
ALAS1	ACAT1
RRAGD	ACAT1
PKP2	ACAT1
USP13	ACAT1
GATB	ACAT1
MPC1	ACAT1
NDUFB4	ACAT1
MAOB	ACAT1
CLCN4	ACAT1
PPP2R3A	ACAT1
SERPINB1	GRAMD4
GRAMD1B	GRAMD4
KCNQ1	CELSR1
MDH1	TIMM21
RRAGD	TIMM21
CS	TIMM21
FUNDC1	TIMM21
ZNF76	VPS9D1
ANO8	VPS9D1
PNPLA4	SLC25A3
RRAGD	SLC25A3
GATB	SLC25A3
MPC1	SLC25A3
RELT	FOSL2
VMP1	FOSL2
ATP1B3	FOSL2
ADGRA2	FSCN1
VASH1	FSCN1
GLI2	FSCN1
LASP1	ACTB
PTBP1	ACTB
VIM	ACTB
RAI14	ACTB
RCN1	ACTB
VMP1	ACTB
DGKA	ACTB
PDIA5	ACTB
KLF6	ACTB
ANK1	WDR62
TSPAN32	WDR62
FHL1	DLG1
DCBLD2	DLG1
ATP2B4	DLG1
HIPK2	DLG1
KCNH2	TUBA3D
CD9	RBMS2
FYN	RBMS2
PRKCH	RBMS2
ARHGAP6	RBMS2
CDK17	RBMS2
MGLL	RBMS2
SCARF1	RBMS2
CCDC28A	RGS11
SEMA3F	PLXNA2
CD9	PLXNA2
TNFRSF1B	PLXNA2
TMSB10	PLXNA2
HYAL2	PLXNA2
ATP1B3	PLXNA2
CD44	SPAG5
RAI14	SPAG5
LCP2	SPAG5
ALPK1	SPAG5
TRIO	ANKRD13A
LMCD1	ANKRD13A
ASB4	ACACB
PHKA2	ACACB
PTPN3	ACACB
IL32	TRAF4
PLAUR	TRAF4
TYMP	TRAF4
FAS	TRAF4
TMSB10	TRAF4
RAI14	TRAF4
RELT	TRAF4
SLC2A3	TRAF4
SBNO2	TRAF4
RASSF1	TRAF4
PTBP1	MCAM
RAI14	MCAM
RCN1	MCAM
HHATL	RAP1GAP
MYOM2	RAP1GAP
PLXND1	ARHGEF1
NADK	ARHGEF1
PTBP1	ARHGEF1
OSBPL5	ARHGEF1
BICRA	ARHGEF1
SLC11A1	STXBP2
CAPG	STXBP2
BCAT1	STXBP2
MAP2K3	DGKD
METTL1	DGKD
PVR	DGKD
CDKL5	RARB
PLD1	RARB
TYMP	NFKB2
FAS	NFKB2
OGFR	NFKB2
RASSF1	NFKB2
ALPK1	NFKB2
TMEM159	PPP1R12B
MPC1	PPP1R12B
PTPN3	PPP1R12B
SDHA	PPP1R12B
ACAT1	PPP1R12B
SEMA3F	IL4R
MCUB	IL4R
PTBP1	IL4R
FAS	IL4R
TMSB10	IL4R
RASSF1	IL4R
ATP1B3	IL4R
PLXNA2	IL4R
TRAF4	IL4R
CAPG	APBB1IP
GNA15	APBB1IP
BCAT1	APBB1IP
HOMER3	SIRT6
CTDP1	SIRT6
RNF126	SIRT6
MYDGF	SIRT6
HHATL	ACTN2
MDH1	ACTN2
MYOM2	ACTN2
USP2	ACTN2
KCNH2	ACTN2
CAMK2B	ACTN2
TMEM38A	ACTN2
BTN3A1	NAALAD2
TFPI	SLC25A43
PLXND1	SLC25A43
MCUB	SLC25A43
VIM	SLC25A43
FAS	SLC25A43
PI4K2B	SLC25A43
RAI14	SLC25A43
RCN1	SLC25A43
RAB27A	SLC25A43
ACTB	SLC25A43
CFH	FBLN1
FAM107B	FBLN1
EVC	FBLN1
ALAS1	MCCC1
USP28	MCCC1
USP13	MCCC1
CS	MCCC1
CLCN4	MCCC1
PPP2R3A	MCCC1
ABCB4	NEBL
HHATL	NEBL
MDH1	NEBL
MYOM2	NEBL
USP2	NEBL
NEDD4L	NEBL
KCNH2	NEBL
PKP2	NEBL
CAMK2B	NEBL
PYGM	NEBL
CAMK2A	NEBL
TMEM38A	NEBL
SDHA	NEBL
ACTN2	NEBL
NADK	TULP3
FYN	TULP3
PTBP1	TULP3
VIM	TULP3
AGPAT4	TULP3
PI4K2B	TULP3
HDAC7	TULP3
DGKA	TULP3
ANKRD44	TULP3
TCF3	TULP3
ARHGEF1	TULP3
SLC25A43	TULP3
HHATL	RBFOX1
MYOM2	RBFOX1
USP2	RBFOX1
KCNH2	RBFOX1
PKP2	RBFOX1
CAMK2B	RBFOX1
CAMK2A	RBFOX1
TMEM38A	RBFOX1
ACTN2	RBFOX1
NEBL	RBFOX1
PREX2	ITM2A
MGLL	ITM2A
PNPLA4	VDAC3
RRAGD	VDAC3
MCCC1	VDAC3
ACTN2	TP53INP2
YBX2	MYH7B
HHATL	MYH7B
ANK1	MYH7B
MYOM2	MYH7B
EPN3	MYH7B
TSPAN32	MYH7B
CAMK2A	MYH7B
CCDC28A	THOC1
TULP3	THOC1
MAP3K9	SLC1A3
MCUB	LXN
HGF	LXN
VIM	LXN
VCAN	LXN
RAI14	LXN
FAM107B	LXN
BCAR1	REXO1
ARHGEF1	REXO1
RIPOR3	RAPGEF3
SLC9A3R2	RAPGEF3
IP6K2	RAPGEF3
HHATL	DUSP13
KCNH2	DUSP13
CAMK2B	DUSP13
ACTN2	DUSP13
CTDP1	CIC
ARHGEF1	CIC
CCDC28A	KIF22
NTHL1	KIF22
PDK2	PGM1
SPTB	PGM1
FYN	EPB41L2
ANOS1	EPB41L2
DCN	EPB41L2
CCDC28A	EPB41L2
AGPAT4	EPB41L2
ARHGAP6	EPB41L2
KITLG	EPB41L2
ANKRD44	EPB41L2
ITM2A	EPB41L2
TNFRSF12A	PTPRH
FSTL3	PTPRH
PI4K2B	RFX3
PREX2	RFX3
ARHGAP6	RFX3
LIMA1	RFX3
ANKRD44	RFX3
PDE8A	RFX3
RBMS2	RFX3
