A	B
UBR2	PPP2R5A
CCDC28A	PPP2R5A
RFC1	PPP2R5A
GDI2	PPP2R5A
KARS1	PPP2R5A
SEMA3F	TIE1
MAP4K3	DIP2B
SZRD1	SMARCD1
GRN	KDM4A
GATB	KDM4A
ELAC2	ELOVL1
ITGAL	SPI1
GAS7	SPI1
MRC2	SPI1
PLAUR	SPI1
SLC11A1	SPI1
PLEKHO1	SPI1
CELF2	SPI1
LAMC2	SPI1
POLR3B	GOLGA5
PIK3CB	GOLGA5
CFTR	FGFR2
LIMA1	MSANTD3
TRIT1	ATG2B
SYPL1	ARFGEF1
PLEKHA5	ARFGEF1
NCKAP1	ARFGEF1
TNPO3	ARFGEF1
ERP44	MTFR1
MCUR1	MTFR1
RAD52	STAG3
RBM6	STAG3
TSPOAP1	STAG3
FUZ	STAG3
CALCOCO1	STAG3
GINM1	FECH
PRSS22	PFKP
ITGA3	PFKP
TMEM132A	PFKP
GAS7	PFKP
PLEKHG6	PFKP
PLAUR	PFKP
BIRC3	PFKP
PLEKHO1	PFKP
TYMP	PFKP
TNFRSF1B	PFKP
RCN1	PFKP
LAMC2	PFKP
SBNO2	PFKP
VRK2	SP100
MTA3	SP100
FOXN3	PLPP1
TMCC3	PLPP1
USP13	NEO1
ST7	TRAM1
UFL1	TRAM1
MCUR1	TRAM1
PIK3CB	TRAM1
BAIAP2L1	PHKA1
ADIPOR2	PHKA1
NEDD4L	PHKA1
PRSS22	TNFRSF1A
ITGA3	TNFRSF1A
BID	TNFRSF1A
RUFY3	TNFRSF1A
TYMP	TNFRSF1A
ATP2B4	TNFRSF1A
PFKP	TNFRSF1A
SPPL2B	CACNB1
TNK2	CACNB1
ITGA3	PKM
GAS7	PKM
ALAS1	PKM
RCN1	PKM
REV3L	DHX29
SLC39A9	DHX29
GINM1	DHX29
NCAPH2	METTL22
PHKA2	METTL22
USP36	METTL22
DGKA	METTL22
NFYA	TP53BP1
RAD52	TP53BP1
NCDN	TP53BP1
ZC3H11A	TP53BP1
SOX8	TRO
PHLDB1	TRO
CASR	TRO
AP2B1	RHOA
RNF14	RHOA
CTNNA1	DHX8
CCDC28A	PRKCZ
MTA3	PRKCZ
PPP2R5A	PRKCZ
FUCA2	IARS2
RECQL	IARS2
ADAM22	NAV3
MRC2	NAV3
HGF	NAV3
ADGRA2	NAV3
CDON	NAV3
SPATA20	ROGDI
PIGQ	ROGDI
IFFO1	ROGDI
ENTPD2	ROGDI
TNK2	ROGDI
SEC61A2	ROGDI
CACNB1	ROGDI
ETV1	PDZD4
PAX6	PDZD4
CACNA2D2	PDZD4
BAIAP3	PDZD4
CELSR3	PDZD4
MAPK8IP2	PDZD4
MLXIPL	PDZD4
GIPR	PDZD4
ISL1	PDZD4
FLT4	PDZD4
CAMK2B	PDZD4
WAPL	ROCK1
TAF2	ROCK1
GPC1	HYAL2
EXTL3	HDAC4
DGKA	RASSF1
METTL22	RASSF1
FGFR2	FGFR3
PRSS22	IFI35
MCUB	IFI35
ITGA3	IFI35
BIRC3	IFI35
CTSA	IFI35
SBNO2	IFI35
TNFRSF1A	IFI35
INPP4A	HEATR6
METTL1	COASY
WDR37	OTUD5
RAI14	ACSL4
RCN1	ACSL4
TNFRSF1A	ACSL4
CYTH3	INPP5A
HDAC7	GRIPAP1
DYRK4	FTSJ1
PGM3	FTSJ1
GLT8D1	FTSJ1
CTNS	FTSJ1
MCUR1	FTSJ1
MPC1	FTSJ1
PRSS22	ATP11A
SBNO2	ATP11A
TNFRSF1A	ATP11A
ACSL4	ATP11A
ABHD5	TTC7A
MVP	TTC7A
PPP2R5A	TTC7A
PRKCZ	TTC7A
RBM5	IP6K2
DVL2	IP6K2
AGK	IP6K2
CRAMP1	IP6K2
