V1	V2
ADCY5	GNGT1
ADCY5	GNGT2
ADCY5	GRK2
ADCY5	KPNA2
ADCY5	PLCB1
ADCY5	PLCB2
ADCY5	PLCB3
ADCY5	PRKACA
ADCY5	PRKACB
ADCY5	PRKACG
ADCY5	PRKAR1A
ADCY5	PRKAR1B
ADCY5	PRKAR2A
ADCY5	PRKAR2B
ADCY5	PRKCA
ADCY5	PRKCD
ADCY5	PRKCG
ADCY5	PRKX
ADCY6	ADCY7
ADCY6	ADCY8
ADCY6	ADCY9
ADCY6	CALM1
ADCY6	CAMK2A
ADCY6	CAMK2B
ADCY6	CAMK2D
ADCY6	CAMK2G
ADCY6	CAMK4
ADCY6	CREB1
ADCY6	GNAI1
ADCY6	GNAI2
ADCY6	GNAI3
ADCY6	GNAL
ADCY6	GNAS
ADCY6	GNAT3
ADCY6	GNB1
ADCY6	GNB2
ADCY6	GNB3
ADCY6	GNB4
ADCY6	GNB5
ADCY6	GNG10
ADCY6	GNG11
ADCY6	GNG12
ADCY6	GNG13
ADCY6	GNG2
ADCY6	GNG3
ADCY6	GNG4
ADCY6	GNG5
ADCY6	GNG7
ADCY6	GNG8
ADCY6	GNGT1
ADCY6	GNGT2
ADCY6	GRK2
ADCY6	KPNA2
ADCY6	PLCB1
ADCY6	PLCB2
ADCY6	PLCB3
ADCY6	PRKACA
ADCY6	PRKACB
ADCY6	PRKACG
ADCY6	PRKAR1A
ADCY6	PRKAR1B
ADCY6	PRKAR2A
ADCY6	PRKAR2B
ADCY6	PRKCA
ADCY6	PRKCD
ADCY6	PRKCG
ADCY6	PRKX
ADCY7	ADCY8
ADCY7	ADCY9
ADCY7	CALM1
ADCY7	CAMK2A
ADCY7	CAMK2B
ADCY7	CAMK2D
ADCY7	CAMK2G
ADCY7	CAMK4
ADCY7	CREB1
ADCY7	GNAI1
ADCY7	GNAI2
ADCY7	GNAI3
ADCY7	GNAL
ADCY7	GNAS
ADCY7	GNAT3
ADCY7	GNB1
ADCY7	GNB2
ADCY7	GNB3
ADCY7	GNB4
ADCY7	GNB5
ADCY7	GNG10
ADCY7	GNG11
ADCY7	GNG12
ADCY7	GNG13
ADCY7	GNG2
ADCY7	GNG3
ADCY7	GNG4
ADCY7	GNG5
ADCY7	GNG7
ADCY7	GNG8
